                REGISTER JASKÝŇ
     Názov                                 Číslo jaskyne
A-1                                                   5 768
A-7                                                   5 769
A-8                                                   5 770
Abčiná                                                2 431
Abra s komínom                                        1 030
Abrázna jaskyňa                                       1 220
Abri PD 1                                             4 386
Abri Domková                                          6 884
Abri Lázkő                                            2 851
Abri Malý Sokol 2                                     4 387
Abri Malý Sokol 3                                     4 388
Abri MS 1                                             4 389
Abri MS 10                                            4 390
Abri MS 5                                             4 391
Abri MS 7                                             4 392
Abri MS 8                                             4 393
Abri MS 9                                             4 394
Abri na Strážove                                      5 324
Abri nad Baksovou dolinou                             2 852
Abri nad Svinskou dierou                              5 200
Abri oproti Sivcu                                       242
Abri PD 2                                             4 395
Abri PD 3                                             4 396
Abri PD 4                                             4 397
Abri Piecky I                                         4 398
Abri Piecky II                                        4 399
Abri pod hranou                                       3 055
Abri pod Kamennou babou                                  75
Abri pod Malým Muráňom                                5 771
Abri pod Sokolou                                         76
Abri pod zákrutou                                     3 217
Abri pri Dupnej diere                                 5 201
Abri pri Líščom brlohu                                1 462
Abri pri Machnáčskom potoku                           5 162
Abri pri Medvedej                                     1 463
Abri pri sonde                                          898
Abri P5                                               4 400
Abri P6                                               4 401
Abri P7                                               4 402
Abri P8                                               4 403
Abri P9                                               4 404
Abri s plazivkou                                      4 405
Abri SB1                                              4 406
Abri SB3                                              4 407
Abri SD1                                              4 408
Abri Skalina                                          4 409
Abri Tiesnina                                         4 410
Abri v Hučiaku                                        5 726
Abri v Konskom grúni                                  1 464
Abri v Lačnovskom kaňone                                 77
Abri v Suchom Bzovíku                                 5 202
Abri vo Veľkom Sokole                                 1 465
Abri VS1                                              4 411
Abri VS2                                              4 412



                                  Page 1 of 131
Áčko                                               3 893
Adamova jaskyňa                                      899
Adamovo rebro                                         78
Agáčiny                                            1 185
Agátová jaskyňa                                    3 894
Aksamitka                                          2 298
Aktívna Túfna                                      6 272
Aktívna výverová                                   5 325
Aktívny ponor                                      5 900
Aktívny ponor pod Starou Poľanou                   1 466
Alabastrová jaskyňa                                5 772
Alanova diera                                      4 413
Aleja                                              3 895
Alenkina jaskyňa                                   3 896
Amerika                                            6 106
Amfiteátrová jaskyňa                                 150
Ananásová jaskyňa                                  1 342
Andaházyho diera                                     510
Andezitová jaskyňa                                 2 423
Andrejova chyžka                                   4 414
Anjelská priepasť                                  3 056
Antonova jaskyňa                                     243
Aňuša                                              6 138
Apendix                                            3 057
Apova jaskyňa                                      4 415
Aprílová jaskyňa                                   5 033
Aragonitová jaskyňa                                2 548
Ardóčka - Mikov                                    3 448
Ardovská jaskyňa                                   3 449
Ardovská vyvieračka                                3 450
Asta                                                 900
Ata-Ata                                              835
Atlantída                                          1 467
Attilova priepasť                                  3 451
Augustová jaskyňa                                  1 468
Aula                                               3 897
Autobusová jaskyňa                                   511
Babia diera                                        2 588
Babiná                                             1 417
Babirátka                                          5 326
Bábková priepasť                                   2 690
Babky I                                               59
Babky II                                              60
Babôčková jaskyňa                                  3 898
Babská diera                                       3 452
Bačova priepasť                                    3 453
Badjizer                                           3 454
Baďova diera                                       3 899
Bahnitá jaskyňa                                    6 273
Bakalárska jaskyňa                                 6 274
Balkón v brale                                     4 416
Balkónik                                           1 469
Balónová jaskyňa                                   4 417
Balovská jaskyňa                                   6 540
Balvanitá diera                                    4 419
Balvanitá diera                                    4 418



                                   Page 2 of 131
Balvanitá jaskyňa                              6 885
Balvanitá jaskyňa                              4 420
Balvanová jaskyňa                              2 281
Bananská hlavina                               2 445
Baňáryho štôlňa - Horné okno                   6 139
Baňáryho štôlňa                                6 140
Banička                                        4 999
Bankov I                                       7 015
Bankov II                                      7 016
Barania jaskyňa                                1 470
Barania smrť                                   1 471
Baranová                                       3 900
Baraskulina jaskyňa                            6 670
Barborina jaskyňa                              2 155
Barlaška                                       6 848
Bartókova priepasť                             3 218
Bartošovica                                    5 126
Bašta                                          1 014
Bazová diera                                   4 421
Bazová jaskyňa                                 3 219
Bazová priepasť                                2 853
Beckovská jaskyňa                              2 446
Beckovský prepad 1                             2 447
Beckovský prepad 2                             2 448
Beckovský prepad 3                             2 449
Beďova nádej                                   6 218
Belá 1                                           901
Belá 3                                           902
Belá 4                                           903
Belá 6                                           904
Belá 7                                           905
Belá 8                                           906
Belá 9                                           907
Belá 10                                          908
Belá 11                                          909
Belianska jaskyňa                              5 773
Belinská jaskyňa                                 151
Belská vyvieračka                                910
Beluša                                         5 106
Beňadičková                                    2 156
Benediktova jaskyňa                            2 433
Beníková                                       1 472
Beníková 17                                    1 473
Beníková 18                                    1 474
Beníková 20                                    1 475
Beníková 23                                    1 476
Beníková 24                                    1 477
